"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",1044,"ZUNI COMPREHENSIVE COMMUNITY HEALTH CENTER",320060,"NM","PN",NA,"5 - Results are not available for this reporting period.",1.0021,14.6968,14.6664,NA,"07/01/2014","06/30/2017","ROUTE 301 NORTH B STREET","ZUNI",87327,"MCKINLEY",5057824431,"Acute Care Hospitals",TRUE,NA,NA,NA,NA,"Results are not available for this reporting period.",NA,NA,"Below the national average",NA,NA,"ZUNI",NA,NA,NA,"ROUTE 301 NORTH B STREET",87327,"NM","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.","Results are not available for this reporting period.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"2",1159,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC",220108,"MA","AMI",NA,"5 - Results are not available for this reporting period.",0.9649,17.3204,17.951,NA,"07/01/2014","06/30/2017","199 REEDSDALE ROAD","MILTON",2186,"NORFOLK",6176964600,"Acute Care Hospitals",TRUE,TRUE,2,"Above the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","MILTON","Point",-71.075213,42.252352,"199 REEDSDALE ROAD",2186,"MA",NA,NA,NA,NA,NA,NA,NA
"3",1161,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC",220108,"MA","COPD",262,NA,0.9957,18.0593,18.1367,47,"07/01/2014","06/30/2017","199 REEDSDALE ROAD","MILTON",2186,"NORFOLK",6176964600,"Acute Care Hospitals",TRUE,TRUE,2,"Above the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","MILTON","Point",-71.075213,42.252352,"199 REEDSDALE ROAD",2186,"MA",NA,NA,NA,NA,NA,NA,NA
"4",1162,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC",220108,"MA","HF",380,NA,1.0905,22.2238,20.3791,90,"07/01/2014","06/30/2017","199 REEDSDALE ROAD","MILTON",2186,"NORFOLK",6176964600,"Acute Care Hospitals",TRUE,TRUE,2,"Above the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","MILTON","Point",-71.075213,42.252352,"199 REEDSDALE ROAD",2186,"MA",NA,NA,NA,NA,NA,NA,NA
"5",1163,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC",220108,"MA","HIP_KNEE",656,NA,1.1554,4.8805,4.2241,35,"07/01/2014","06/30/2017","199 REEDSDALE ROAD","MILTON",2186,"NORFOLK",6176964600,"Acute Care Hospitals",TRUE,TRUE,2,"Above the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","MILTON","Point",-71.075213,42.252352,"199 REEDSDALE ROAD",2186,"MA",NA,NA,NA,NA,NA,NA,NA
"6",1164,"BETH ISRAEL DEACONESS HOSPITAL-MILTON INC",220108,"MA","PN",629,NA,0.9928,15.4894,15.6025,97,"07/01/2014","06/30/2017","199 REEDSDALE ROAD","MILTON",2186,"NORFOLK",6176964600,"Acute Care Hospitals",TRUE,TRUE,2,"Above the national average","Below the national average",NA,"Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","MILTON","Point",-71.075213,42.252352,"199 REEDSDALE ROAD",2186,"MA",NA,NA,NA,NA,NA,NA,NA
"7",1509,"P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK",350063,"ND","COPD",NA,"5 - Results are not available for this reporting period.",1.0556,18.7405,17.7527,NA,"07/01/2014","06/30/2017","PO BOX 160","BELCOURT",58316,"ROLETTE",7014776111,"Acute Care Hospitals",TRUE,TRUE,NA,NA,NA,"Results are not available for this reporting period.","Same as the national average",NA,"Same as the national average",NA,NA,"BELCOURT",NA,NA,NA,"PO BOX 160",58316,"ND","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"8",1512,"P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK",350063,"ND","PN",NA,"5 - Results are not available for this reporting period.",1.0068,15.2447,15.1416,NA,"07/01/2014","06/30/2017","PO BOX 160","BELCOURT",58316,"ROLETTE",7014776111,"Acute Care Hospitals",TRUE,TRUE,NA,NA,NA,"Results are not available for this reporting period.","Same as the national average",NA,"Same as the national average",NA,NA,"BELCOURT",NA,NA,NA,"PO BOX 160",58316,"ND","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"9",2164,"NORTHERN NAVAJO MEDICAL CENTER",320059,"NM","HF",63,NA,1.0097,18.1139,17.94,12,"07/01/2014","06/30/2017","US HWY 491 NORTH","SHIPROCK",87420,"SAN JUAN",5053686001,"Acute Care Hospitals",TRUE,NA,3,NA,NA,"Results are not available for this reporting period.","Above the national average","Below the national average","Same as the national average",NA,NA,"SHIPROCK",NA,NA,NA,"US HWY 491 NORTH",87420,"NM","This hospital's star rating only includes data reported on inpatient services.","Results are not available for this reporting period.",NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
"10",2166,"NORTHERN NAVAJO MEDICAL CENTER",320059,"NM","PN",194,NA,1.0459,13.6395,13.0408,29,"07/01/2014","06/30/2017","US HWY 491 NORTH","SHIPROCK",87420,"SAN JUAN",5053686001,"Acute Care Hospitals",TRUE,NA,3,NA,NA,"Results are not available for this reporting period.","Above the national average","Below the national average","Same as the national average",NA,NA,"SHIPROCK",NA,NA,NA,"US HWY 491 NORTH",87420,"NM","This hospital's star rating only includes data reported on inpatient services.","Results are not available for this reporting period.",NA,NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA
