"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",55,"MATAGORDA REGIONAL MEDICAL CENTER",450465,"TX","AMI",NA,"5 - Results are not available for this reporting period.",0.9635,15.7688,16.3657,NA,"07/01/2014","06/30/2017","104 7TH STREET","BAY CITY",77414,"MATAGORDA",9792456383,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","BAY CITY","Point",-95.99129,28.982805,"104 7TH STREET",77414,"TX",NA,NA,NA,NA,NA,NA,NA
"2",57,"MATAGORDA REGIONAL MEDICAL CENTER",450465,"TX","COPD",85,NA,0.9539,20.7704,21.7735,14,"07/01/2014","06/30/2017","104 7TH STREET","BAY CITY",77414,"MATAGORDA",9792456383,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","BAY CITY","Point",-95.99129,28.982805,"104 7TH STREET",77414,"TX",NA,NA,NA,NA,NA,NA,NA
"3",58,"MATAGORDA REGIONAL MEDICAL CENTER",450465,"TX","HF",146,NA,0.9691,20.5429,21.1971,28,"07/01/2014","06/30/2017","104 7TH STREET","BAY CITY",77414,"MATAGORDA",9792456383,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","BAY CITY","Point",-95.99129,28.982805,"104 7TH STREET",77414,"TX",NA,NA,NA,NA,NA,NA,NA
"4",59,"MATAGORDA REGIONAL MEDICAL CENTER",450465,"TX","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0102,5.3612,5.307,NA,"07/01/2014","06/30/2017","104 7TH STREET","BAY CITY",77414,"MATAGORDA",9792456383,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","BAY CITY","Point",-95.99129,28.982805,"104 7TH STREET",77414,"TX",NA,NA,NA,NA,NA,NA,NA
"5",60,"MATAGORDA REGIONAL MEDICAL CENTER",450465,"TX","PN",137,NA,0.9683,17.4968,18.0704,22,"07/01/2014","06/30/2017","104 7TH STREET","BAY CITY",77414,"MATAGORDA",9792456383,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","BAY CITY","Point",-95.99129,28.982805,"104 7TH STREET",77414,"TX",NA,NA,NA,NA,NA,NA,NA
"6",141,"METRO NASHVILLE GENERAL HOSPITAL",440111,"TN","COPD",NA,"5 - Results are not available for this reporting period.",1.0098,20.9853,20.7816,NA,"07/01/2014","06/30/2017","1818 ALBION STREET","NASHVILLE",37208,"DAVIDSON",6153414490,"Acute Care Hospitals",TRUE,TRUE,2,NA,"Same as the national average",NA,NA,"Below the national average","Same as the national average","Same as the national average",NA,"NASHVILLE","Point",-86.806327,36.166135,"1818 ALBION STREET",37208,"TN",NA,"There are too few measures or measure groups reported to calculate a star rating or measure group score.","Results are not available for this reporting period.",NA,"Results are not available for this reporting period.",NA,NA
"7",145,"HUNTSVILLE HOSPITAL",10039,"AL","AMI",1080,NA,1.0199,14.3343,14.055,156,"07/01/2014","06/30/2017","101 SIVLEY RD","HUNTSVILLE",35801,"MADISON",2562651000,"Acute Care Hospitals",TRUE,NA,2,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","HUNTSVILLE","Point",-86.581547,34.721226,"101 SIVLEY RD",35801,"AL",NA,NA,NA,NA,NA,NA,NA
"8",146,"HUNTSVILLE HOSPITAL",10039,"AL","CABG",573,NA,0.8575,10.8001,12.5943,58,"07/01/2014","06/30/2017","101 SIVLEY RD","HUNTSVILLE",35801,"MADISON",2562651000,"Acute Care Hospitals",TRUE,NA,2,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","HUNTSVILLE","Point",-86.581547,34.721226,"101 SIVLEY RD",35801,"AL",NA,NA,NA,NA,NA,NA,NA
"9",147,"HUNTSVILLE HOSPITAL",10039,"AL","COPD",1445,NA,1.0688,20.5513,19.2286,302,"07/01/2014","06/30/2017","101 SIVLEY RD","HUNTSVILLE",35801,"MADISON",2562651000,"Acute Care Hospitals",TRUE,NA,2,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","HUNTSVILLE","Point",-86.581547,34.721226,"101 SIVLEY RD",35801,"AL",NA,NA,NA,NA,NA,NA,NA
"10",148,"HUNTSVILLE HOSPITAL",10039,"AL","HF",1896,NA,0.9861,21.25,21.5501,402,"07/01/2014","06/30/2017","101 SIVLEY RD","HUNTSVILLE",35801,"MADISON",2562651000,"Acute Care Hospitals",TRUE,NA,2,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","HUNTSVILLE","Point",-86.581547,34.721226,"101 SIVLEY RD",35801,"AL",NA,NA,NA,NA,NA,NA,NA
"11",149,"HUNTSVILLE HOSPITAL",10039,"AL","HIP_KNEE",1832,NA,1.0468,4.0426,3.8617,75,"07/01/2014","06/30/2017","101 SIVLEY RD","HUNTSVILLE",35801,"MADISON",2562651000,"Acute Care Hospitals",TRUE,NA,2,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","HUNTSVILLE","Point",-86.581547,34.721226,"101 SIVLEY RD",35801,"AL",NA,NA,NA,NA,NA,NA,NA
"12",150,"HUNTSVILLE HOSPITAL",10039,"AL","PN",1630,NA,1.0603,17.6971,16.69,292,"07/01/2014","06/30/2017","101 SIVLEY RD","HUNTSVILLE",35801,"MADISON",2562651000,"Acute Care Hospitals",TRUE,NA,2,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Below the national average","HUNTSVILLE","Point",-86.581547,34.721226,"101 SIVLEY RD",35801,"AL",NA,NA,NA,NA,NA,NA,NA
"13",193,"EL CAMINO HOSPITAL",50308,"CA","AMI",227,NA,1.0662,15.0323,14.0983,38,"07/01/2014","06/30/2017","2500 GRANT ROAD","MOUNTAIN VIEW",94040,"SANTA CLARA",6509407000,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","MOUNTAIN VIEW","Point",-122.077933,37.369341,"2500 GRANT ROAD",94040,"CA",NA,NA,NA,NA,NA,NA,NA
"14",194,"EL CAMINO HOSPITAL",50308,"CA","CABG",NA,"5 - Results are not available for this reporting period.",0.93,11.9122,12.8095,NA,"07/01/2014","06/30/2017","2500 GRANT ROAD","MOUNTAIN VIEW",94040,"SANTA CLARA",6509407000,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","MOUNTAIN VIEW","Point",-122.077933,37.369341,"2500 GRANT ROAD",94040,"CA",NA,NA,NA,NA,NA,NA,NA
"15",195,"EL CAMINO HOSPITAL",50308,"CA","COPD",313,NA,1.0599,19.6874,18.5747,66,"07/01/2014","06/30/2017","2500 GRANT ROAD","MOUNTAIN VIEW",94040,"SANTA CLARA",6509407000,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","MOUNTAIN VIEW","Point",-122.077933,37.369341,"2500 GRANT ROAD",94040,"CA",NA,NA,NA,NA,NA,NA,NA
"16",196,"EL CAMINO HOSPITAL",50308,"CA","HF",640,NA,0.9505,18.6196,19.5892,116,"07/01/2014","06/30/2017","2500 GRANT ROAD","MOUNTAIN VIEW",94040,"SANTA CLARA",6509407000,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","MOUNTAIN VIEW","Point",-122.077933,37.369341,"2500 GRANT ROAD",94040,"CA",NA,NA,NA,NA,NA,NA,NA
"17",197,"EL CAMINO HOSPITAL",50308,"CA","HIP_KNEE",1024,NA,0.835,3.0927,3.7037,28,"07/01/2014","06/30/2017","2500 GRANT ROAD","MOUNTAIN VIEW",94040,"SANTA CLARA",6509407000,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","MOUNTAIN VIEW","Point",-122.077933,37.369341,"2500 GRANT ROAD",94040,"CA",NA,NA,NA,NA,NA,NA,NA
"18",198,"EL CAMINO HOSPITAL",50308,"CA","PN",939,NA,1.0226,15.3017,14.9631,145,"07/01/2014","06/30/2017","2500 GRANT ROAD","MOUNTAIN VIEW",94040,"SANTA CLARA",6509407000,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","MOUNTAIN VIEW","Point",-122.077933,37.369341,"2500 GRANT ROAD",94040,"CA",NA,NA,NA,NA,NA,NA,NA
"19",369,"NORTHERN HOSPITAL OF SURRY COUNTY",340003,"NC","COPD",246,NA,0.9562,18.0151,18.8394,41,"07/01/2014","06/30/2017","830 ROCKFORD ST","MOUNT AIRY",27030,"SURRY",3367197000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","MOUNT AIRY","Point",-80.611181,36.488418,"830 ROCKFORD ST",27030,"NC",NA,NA,NA,NA,NA,NA,NA
