"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",67,"WOOSTER COMMUNITY HOSPITAL",360036,"OH","AMI",NA,"5 - Results are not available for this reporting period.",0.958,14.3578,14.9878,NA,"07/01/2014","06/30/2017","1761 BEALL AVENUE","WOOSTER",44691,"WAYNE",3302638100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average","WOOSTER","Point",-81.934247,40.820713,"1761 BEALL AVENUE",44691,"OH",NA,NA,NA,NA,NA,NA,NA
"2",69,"WOOSTER COMMUNITY HOSPITAL",360036,"OH","COPD",167,NA,0.8879,16.6475,18.7501,19,"07/01/2014","06/30/2017","1761 BEALL AVENUE","WOOSTER",44691,"WAYNE",3302638100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average","WOOSTER","Point",-81.934247,40.820713,"1761 BEALL AVENUE",44691,"OH",NA,NA,NA,NA,NA,NA,NA
"3",70,"WOOSTER COMMUNITY HOSPITAL",360036,"OH","HF",265,NA,0.8911,18.5794,20.8489,42,"07/01/2014","06/30/2017","1761 BEALL AVENUE","WOOSTER",44691,"WAYNE",3302638100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average","WOOSTER","Point",-81.934247,40.820713,"1761 BEALL AVENUE",44691,"OH",NA,NA,NA,NA,NA,NA,NA
"4",71,"WOOSTER COMMUNITY HOSPITAL",360036,"OH","HIP_KNEE",257,NA,1.0503,4.2724,4.0677,12,"07/01/2014","06/30/2017","1761 BEALL AVENUE","WOOSTER",44691,"WAYNE",3302638100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average","WOOSTER","Point",-81.934247,40.820713,"1761 BEALL AVENUE",44691,"OH",NA,NA,NA,NA,NA,NA,NA
"5",72,"WOOSTER COMMUNITY HOSPITAL",360036,"OH","PN",288,NA,0.9986,16.3477,16.3698,47,"07/01/2014","06/30/2017","1761 BEALL AVENUE","WOOSTER",44691,"WAYNE",3302638100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Above the national average","Same as the national average","Above the national average","Above the national average","WOOSTER","Point",-81.934247,40.820713,"1761 BEALL AVENUE",44691,"OH",NA,NA,NA,NA,NA,NA,NA
"6",213,"BROOKINGS HEALTH SYSTEM",430008,"SD","COPD",NA,"5 - Results are not available for this reporting period.",0.9478,15.8574,16.7303,NA,"07/01/2014","06/30/2017","300 22ND AVE","BROOKINGS",57006,"BROOKINGS",6056969000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average",NA,"Results are not available for this reporting period.","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","BROOKINGS","Point",-96.768199,44.307751,"300 22ND AVE",57006,"SD",NA,NA,NA,NA,NA,NA,NA
"7",214,"BROOKINGS HEALTH SYSTEM",430008,"SD","HF",95,NA,0.9736,19.6696,20.2021,17,"07/01/2014","06/30/2017","300 22ND AVE","BROOKINGS",57006,"BROOKINGS",6056969000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average",NA,"Results are not available for this reporting period.","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","BROOKINGS","Point",-96.768199,44.307751,"300 22ND AVE",57006,"SD",NA,NA,NA,NA,NA,NA,NA
"8",216,"BROOKINGS HEALTH SYSTEM",430008,"SD","PN",157,NA,0.9471,13.4469,14.1986,18,"07/01/2014","06/30/2017","300 22ND AVE","BROOKINGS",57006,"BROOKINGS",6056969000,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average",NA,"Results are not available for this reporting period.","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","BROOKINGS","Point",-96.768199,44.307751,"300 22ND AVE",57006,"SD",NA,NA,NA,NA,NA,NA,NA
"9",349,"ELMHURST HOSPITAL CENTER",330128,"NY","AMI",97,NA,1.0646,14.6443,13.7561,18,"07/01/2014","06/30/2017","79-01 BROADWAY","ELMHURST",11373,"QUEENS",7183341141,"Acute Care Hospitals",TRUE,TRUE,1,"Same as the national average","Below the national average",NA,"Below the national average","Below the national average","Same as the national average","Below the national average",NA,"ELMHURST","Point",-73.88598,40.74434,"79-01 BROADWAY",11373,"NY",NA,NA,NA,NA,"Results are not available for this reporting period.",NA,NA
"10",351,"ELMHURST HOSPITAL CENTER",330128,"NY","COPD",123,NA,1.0681,21.8229,20.4314,32,"07/01/2014","06/30/2017","79-01 BROADWAY","ELMHURST",11373,"QUEENS",7183341141,"Acute Care Hospitals",TRUE,TRUE,1,"Same as the national average","Below the national average",NA,"Below the national average","Below the national average","Same as the national average","Below the national average",NA,"ELMHURST","Point",-73.88598,40.74434,"79-01 BROADWAY",11373,"NY",NA,NA,NA,NA,"Results are not available for this reporting period.",NA,NA
"11",352,"ELMHURST HOSPITAL CENTER",330128,"NY","HF",172,NA,1.0181,19.1188,18.779,34,"07/01/2014","06/30/2017","79-01 BROADWAY","ELMHURST",11373,"QUEENS",7183341141,"Acute Care Hospitals",TRUE,TRUE,1,"Same as the national average","Below the national average",NA,"Below the national average","Below the national average","Same as the national average","Below the national average",NA,"ELMHURST","Point",-73.88598,40.74434,"79-01 BROADWAY",11373,"NY",NA,NA,NA,NA,"Results are not available for this reporting period.",NA,NA
"12",354,"ELMHURST HOSPITAL CENTER",330128,"NY","PN",241,NA,1.1412,16.2717,14.2585,47,"07/01/2014","06/30/2017","79-01 BROADWAY","ELMHURST",11373,"QUEENS",7183341141,"Acute Care Hospitals",TRUE,TRUE,1,"Same as the national average","Below the national average",NA,"Below the national average","Below the national average","Same as the national average","Below the national average",NA,"ELMHURST","Point",-73.88598,40.74434,"79-01 BROADWAY",11373,"NY",NA,NA,NA,NA,"Results are not available for this reporting period.",NA,NA
