"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",439,"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER",330241,"NY","AMI",165,NA,1.0704,16.2238,15.1573,31,"07/01/2014","06/30/2017","750 EAST ADAMS STREET","SYRACUSE",13210,"ONONDAGA",3154734240,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Below the national average","SYRACUSE","Point",-76.139323,43.042677,"750 EAST ADAMS STREET",13210,"NY",NA,NA,NA,NA,NA,NA,NA
"2",441,"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER",330241,"NY","COPD",351,NA,1.1064,21.9812,19.8669,85,"07/01/2014","06/30/2017","750 EAST ADAMS STREET","SYRACUSE",13210,"ONONDAGA",3154734240,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Below the national average","SYRACUSE","Point",-76.139323,43.042677,"750 EAST ADAMS STREET",13210,"NY",NA,NA,NA,NA,NA,NA,NA
"3",442,"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER",330241,"NY","HF",548,NA,1.0843,22.229,20.5018,127,"07/01/2014","06/30/2017","750 EAST ADAMS STREET","SYRACUSE",13210,"ONONDAGA",3154734240,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Below the national average","SYRACUSE","Point",-76.139323,43.042677,"750 EAST ADAMS STREET",13210,"NY",NA,NA,NA,NA,NA,NA,NA
"4",443,"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER",330241,"NY","HIP_KNEE",278,NA,1.0764,4.8445,4.5007,15,"07/01/2014","06/30/2017","750 EAST ADAMS STREET","SYRACUSE",13210,"ONONDAGA",3154734240,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Below the national average","SYRACUSE","Point",-76.139323,43.042677,"750 EAST ADAMS STREET",13210,"NY",NA,NA,NA,NA,NA,NA,NA
"5",444,"UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER",330241,"NY","PN",673,NA,0.9983,15.9137,15.9405,107,"07/01/2014","06/30/2017","750 EAST ADAMS STREET","SYRACUSE",13210,"ONONDAGA",3154734240,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Same as the national average","Below the national average","Same as the national average","Below the national average","Below the national average","SYRACUSE","Point",-76.139323,43.042677,"750 EAST ADAMS STREET",13210,"NY",NA,NA,NA,NA,NA,NA,NA
"6",543,"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER",450690,"TX","COPD",154,NA,0.8644,17.4713,20.2129,16,"07/01/2014","06/30/2017","11937 US HIGHWAY 271","TYLER",75708,"SMITH",9038777777,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average",NA,"Results are not available for this reporting period.","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average","TYLER","Point",-95.209291,32.42369,"11937 US HIGHWAY 271",75708,"TX",NA,NA,NA,NA,NA,NA,NA
"7",544,"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER",450690,"TX","HF",118,NA,0.9775,20.7174,21.1936,23,"07/01/2014","06/30/2017","11937 US HIGHWAY 271","TYLER",75708,"SMITH",9038777777,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average",NA,"Results are not available for this reporting period.","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average","TYLER","Point",-95.209291,32.42369,"11937 US HIGHWAY 271",75708,"TX",NA,NA,NA,NA,NA,NA,NA
"8",546,"UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT TYLER",450690,"TX","PN",221,NA,0.8983,15.0803,16.7879,27,"07/01/2014","06/30/2017","11937 US HIGHWAY 271","TYLER",75708,"SMITH",9038777777,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average",NA,"Results are not available for this reporting period.","Above the national average","Above the national average","Above the national average","Above the national average","Below the national average","TYLER","Point",-95.209291,32.42369,"11937 US HIGHWAY 271",75708,"TX",NA,NA,NA,NA,NA,NA,NA
"9",2288,"UNIVERSITY OF NORTH CAROLINA HOSPITAL",340061,"NC","AMI",345,NA,1.0025,16.1863,16.1458,56,"07/01/2014","06/30/2017","101 MANNING DRIVE","CHAPEL HILL",27514,"ORANGE",9199664141,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","CHAPEL HILL","Point",-79.051894,35.903551,"101 MANNING DRIVE",27514,"NC",NA,NA,NA,NA,NA,NA,NA
"10",2289,"UNIVERSITY OF NORTH CAROLINA HOSPITAL",340061,"NC","CABG",NA,"5 - Results are not available for this reporting period.",0.899,12.3672,13.757,NA,"07/01/2014","06/30/2017","101 MANNING DRIVE","CHAPEL HILL",27514,"ORANGE",9199664141,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","CHAPEL HILL","Point",-79.051894,35.903551,"101 MANNING DRIVE",27514,"NC",NA,NA,NA,NA,NA,NA,NA
