"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",177,"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,"OK","COPD",301,NA,1.0102,19.3466,19.1516,59,"07/01/2014","06/30/2017","4300 WEST MEMORIAL ROAD","OKLAHOMA CITY",73120,"OKLAHOMA",4057523754,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","OKLAHOMA CITY","Point",-97.599625,35.609026,"4300 WEST MEMORIAL ROAD",73120,"OK",NA,NA,NA,NA,NA,NA,NA
"2",178,"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,"OK","HF",174,NA,0.9537,20.7141,21.7201,33,"07/01/2014","06/30/2017","4300 WEST MEMORIAL ROAD","OKLAHOMA CITY",73120,"OKLAHOMA",4057523754,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","OKLAHOMA CITY","Point",-97.599625,35.609026,"4300 WEST MEMORIAL ROAD",73120,"OK",NA,NA,NA,NA,NA,NA,NA
"3",179,"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,"OK","HIP_KNEE",452,NA,0.9483,4.4494,4.692,19,"07/01/2014","06/30/2017","4300 WEST MEMORIAL ROAD","OKLAHOMA CITY",73120,"OKLAHOMA",4057523754,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","OKLAHOMA CITY","Point",-97.599625,35.609026,"4300 WEST MEMORIAL ROAD",73120,"OK",NA,NA,NA,NA,NA,NA,NA
"4",180,"MERCY HOSPITAL OKLAHOMA CITY, INC",370013,"OK","PN",892,NA,0.8992,14.6038,16.2407,124,"07/01/2014","06/30/2017","4300 WEST MEMORIAL ROAD","OKLAHOMA CITY",73120,"OKLAHOMA",4057523754,"Acute Care Hospitals",TRUE,TRUE,3,"Below the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average","OKLAHOMA CITY","Point",-97.599625,35.609026,"4300 WEST MEMORIAL ROAD",73120,"OK",NA,NA,NA,NA,NA,NA,NA
"5",403,"KENMORE MERCY HOSPITAL",330102,"NY","AMI",60,NA,1.0249,20.6684,20.1661,14,"07/01/2014","06/30/2017","2950 ELMWOOD AVENUE","KENMORE",14217,"ERIE",7164476100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","KENMORE","Point",-78.878678,42.9779,"2950 ELMWOOD AVENUE",14217,"NY",NA,NA,NA,NA,NA,NA,NA
"6",405,"KENMORE MERCY HOSPITAL",330102,"NY","COPD",140,NA,1.0165,20.5347,20.2007,30,"07/01/2014","06/30/2017","2950 ELMWOOD AVENUE","KENMORE",14217,"ERIE",7164476100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","KENMORE","Point",-78.878678,42.9779,"2950 ELMWOOD AVENUE",14217,"NY",NA,NA,NA,NA,NA,NA,NA
"7",406,"KENMORE MERCY HOSPITAL",330102,"NY","HF",188,NA,1.0002,19.1411,19.1366,36,"07/01/2014","06/30/2017","2950 ELMWOOD AVENUE","KENMORE",14217,"ERIE",7164476100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","KENMORE","Point",-78.878678,42.9779,"2950 ELMWOOD AVENUE",14217,"NY",NA,NA,NA,NA,NA,NA,NA
"8",407,"KENMORE MERCY HOSPITAL",330102,"NY","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.7445,3.2667,4.3881,NA,"07/01/2014","06/30/2017","2950 ELMWOOD AVENUE","KENMORE",14217,"ERIE",7164476100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","KENMORE","Point",-78.878678,42.9779,"2950 ELMWOOD AVENUE",14217,"NY",NA,NA,NA,NA,NA,NA,NA
"9",408,"KENMORE MERCY HOSPITAL",330102,"NY","PN",191,NA,0.9779,15.3515,15.6992,28,"07/01/2014","06/30/2017","2950 ELMWOOD AVENUE","KENMORE",14217,"ERIE",7164476100,"Acute Care Hospitals",TRUE,TRUE,4,"Same as the national average","Above the national average",NA,"Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","KENMORE","Point",-78.878678,42.9779,"2950 ELMWOOD AVENUE",14217,"NY",NA,NA,NA,NA,NA,NA,NA
"10",421,"CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL",60103,"CO","AMI",NA,"5 - Results are not available for this reporting period.",0.9794,12.8291,13.0993,NA,"07/01/2014","06/30/2017","100 HEALTH PARK DRIVE","LOUISVILLE",80027,"BOULDER",3036731280,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","LOUISVILLE","Point",-105.149154,39.950847,"100 HEALTH PARK DRIVE",80027,"CO",NA,NA,NA,NA,NA,NA,NA
