"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",97,"ST LUKE'S HOSPITAL",360090,"OH","AMI",300,NA,0.859,13.8102,16.0773,32,"07/01/2014","06/30/2017","5901 MONCLOVA ROAD","MAUMEE",43537,"LUCAS",4198935900,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","MAUMEE","Point",-83.681608,41.558756,"5901 MONCLOVA ROAD",43537,"OH",NA,NA,NA,NA,NA,NA,NA
"2",98,"ST LUKE'S HOSPITAL",360090,"OH","CABG",104,NA,0.9477,11.8922,12.5488,11,"07/01/2014","06/30/2017","5901 MONCLOVA ROAD","MAUMEE",43537,"LUCAS",4198935900,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","MAUMEE","Point",-83.681608,41.558756,"5901 MONCLOVA ROAD",43537,"OH",NA,NA,NA,NA,NA,NA,NA
"3",99,"ST LUKE'S HOSPITAL",360090,"OH","COPD",456,NA,1.0146,19.4973,19.2174,90,"07/01/2014","06/30/2017","5901 MONCLOVA ROAD","MAUMEE",43537,"LUCAS",4198935900,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","MAUMEE","Point",-83.681608,41.558756,"5901 MONCLOVA ROAD",43537,"OH",NA,NA,NA,NA,NA,NA,NA
"4",100,"ST LUKE'S HOSPITAL",360090,"OH","HF",437,NA,0.9244,20.1428,21.7898,83,"07/01/2014","06/30/2017","5901 MONCLOVA ROAD","MAUMEE",43537,"LUCAS",4198935900,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","MAUMEE","Point",-83.681608,41.558756,"5901 MONCLOVA ROAD",43537,"OH",NA,NA,NA,NA,NA,NA,NA
"5",101,"ST LUKE'S HOSPITAL",360090,"OH","HIP_KNEE",327,NA,1.1298,5.3304,4.7179,20,"07/01/2014","06/30/2017","5901 MONCLOVA ROAD","MAUMEE",43537,"LUCAS",4198935900,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","MAUMEE","Point",-83.681608,41.558756,"5901 MONCLOVA ROAD",43537,"OH",NA,NA,NA,NA,NA,NA,NA
"6",102,"ST LUKE'S HOSPITAL",360090,"OH","PN",411,NA,1.0117,16.6194,16.4274,69,"07/01/2014","06/30/2017","5901 MONCLOVA ROAD","MAUMEE",43537,"LUCAS",4198935900,"Acute Care Hospitals",TRUE,TRUE,3,"Same as the national average","Same as the national average",NA,"Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","MAUMEE","Point",-83.681608,41.558756,"5901 MONCLOVA ROAD",43537,"OH",NA,NA,NA,NA,NA,NA,NA
"7",163,"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS",220030,"MA","AMI",NA,"5 - Results are not available for this reporting period.",0.9558,17.2598,18.0583,NA,"07/01/2014","06/30/2017","40 WRIGHT STREET","PALMER",1069,"HAMPDEN",4132837651,"Acute Care Hospitals",TRUE,TRUE,3,"Above the national average",NA,"Results are not available for this reporting period.","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","PALMER","Point",-72.341031,42.168727,"40 WRIGHT STREET",1069,"MA",NA,NA,NA,NA,NA,NA,NA
"8",165,"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS",220030,"MA","COPD",245,NA,1.1149,21.8683,19.6141,62,"07/01/2014","06/30/2017","40 WRIGHT STREET","PALMER",1069,"HAMPDEN",4132837651,"Acute Care Hospitals",TRUE,TRUE,3,"Above the national average",NA,"Results are not available for this reporting period.","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","PALMER","Point",-72.341031,42.168727,"40 WRIGHT STREET",1069,"MA",NA,NA,NA,NA,NA,NA,NA
"9",166,"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS",220030,"MA","HF",259,NA,0.9907,21.0824,21.2807,54,"07/01/2014","06/30/2017","40 WRIGHT STREET","PALMER",1069,"HAMPDEN",4132837651,"Acute Care Hospitals",TRUE,TRUE,3,"Above the national average",NA,"Results are not available for this reporting period.","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","PALMER","Point",-72.341031,42.168727,"40 WRIGHT STREET",1069,"MA",NA,NA,NA,NA,NA,NA,NA
"10",168,"BAYSTATE WING HOSPITAL AND MEDICAL CENTERS",220030,"MA","PN",314,NA,0.9251,14.5104,15.6844,41,"07/01/2014","06/30/2017","40 WRIGHT STREET","PALMER",1069,"HAMPDEN",4132837651,"Acute Care Hospitals",TRUE,TRUE,3,"Above the national average",NA,"Results are not available for this reporting period.","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","PALMER","Point",-72.341031,42.168727,"40 WRIGHT STREET",1069,"MA",NA,NA,NA,NA,NA,NA,NA
