"","X","hospital_name","provider_id","state","measure_name","number_of_discharges","footnote","excess_readmission_ratio","predicted_readmission_rate","expected_readmission_rate","number_of_readmissions","start_date","end_date","address","city","zip_code","county_name","phone_number","hospital_type","emergency_services","meets_criteria_for_meaningful_use_of_ehrs","hospital_overall_rating","mortality_national_comparison","safety_of_care_national_comparison","safety_of_care_national_comparison_footnote","readmission_national_comparison","patient_experience_national_comparison","effectiveness_of_care_national_comparison","timeliness_of_care_national_comparison","efficient_use_of_medical_imaging_national_comparison","location_city","location.type","long","lat","location_address","location_zip","location_state","hospital_overall_rating_footnote","mortality_national_comparison_footnote","readmission_national_comparison_footnote","patient_experience_national_comparison_footnote","efficient_use_of_medical_imaging_national_comparison_footnote","timeliness_of_care_national_comparison_footnote","effectiveness_of_care_national_comparison_footnote"
"1",9,"GRAND ITASCA CLINIC AND HOSPITAL",240064,"MN","COPD",NA,"5 - Results are not available for this reporting period.",1.0024,18.0061,17.963,NA,"07/01/2014","06/30/2017","1601 GOLF COURSE ROAD","GRAND RAPIDS",55744,"ITASCA",2183263401,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Same as the national average",NA,"Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","GRAND RAPIDS","Point",-93.554716,47.221039,"1601 GOLF COURSE ROAD",55744,"MN",NA,NA,NA,NA,NA,NA,NA
"2",10,"GRAND ITASCA CLINIC AND HOSPITAL",240064,"MN","HF",75,NA,0.9726,19.6816,20.2355,13,"07/01/2014","06/30/2017","1601 GOLF COURSE ROAD","GRAND RAPIDS",55744,"ITASCA",2183263401,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Same as the national average",NA,"Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","GRAND RAPIDS","Point",-93.554716,47.221039,"1601 GOLF COURSE ROAD",55744,"MN",NA,NA,NA,NA,NA,NA,NA
"3",11,"GRAND ITASCA CLINIC AND HOSPITAL",240064,"MN","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",0.9761,4.4642,4.5734,NA,"07/01/2014","06/30/2017","1601 GOLF COURSE ROAD","GRAND RAPIDS",55744,"ITASCA",2183263401,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Same as the national average",NA,"Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","GRAND RAPIDS","Point",-93.554716,47.221039,"1601 GOLF COURSE ROAD",55744,"MN",NA,NA,NA,NA,NA,NA,NA
"4",12,"GRAND ITASCA CLINIC AND HOSPITAL",240064,"MN","PN",153,NA,0.9719,14.1502,14.5594,20,"07/01/2014","06/30/2017","1601 GOLF COURSE ROAD","GRAND RAPIDS",55744,"ITASCA",2183263401,"Acute Care Hospitals",TRUE,NA,4,"Same as the national average","Same as the national average",NA,"Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","GRAND RAPIDS","Point",-93.554716,47.221039,"1601 GOLF COURSE ROAD",55744,"MN",NA,NA,NA,NA,NA,NA,NA
"5",19,"CHESHIRE MEDICAL CENTER",300019,"NH","AMI",NA,"5 - Results are not available for this reporting period.",1.0101,19.0025,18.8128,NA,"07/01/2014","06/30/2017","580 COURT STREET","KEENE",3431,"CHESHIRE",6033545400,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average","KEENE","Point",-72.290725,42.949854,"580 COURT STREET",3431,"NH",NA,NA,NA,NA,NA,NA,NA
"6",21,"CHESHIRE MEDICAL CENTER",300019,"NH","COPD",196,NA,0.982,18.5452,18.8845,35,"07/01/2014","06/30/2017","580 COURT STREET","KEENE",3431,"CHESHIRE",6033545400,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average","KEENE","Point",-72.290725,42.949854,"580 COURT STREET",3431,"NH",NA,NA,NA,NA,NA,NA,NA
"7",22,"CHESHIRE MEDICAL CENTER",300019,"NH","HF",303,NA,0.9514,19.8545,20.8696,57,"07/01/2014","06/30/2017","580 COURT STREET","KEENE",3431,"CHESHIRE",6033545400,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average","KEENE","Point",-72.290725,42.949854,"580 COURT STREET",3431,"NH",NA,NA,NA,NA,NA,NA,NA
"8",23,"CHESHIRE MEDICAL CENTER",300019,"NH","HIP_KNEE",NA,"5 - Results are not available for this reporting period.",1.0807,4.2815,3.9617,NA,"07/01/2014","06/30/2017","580 COURT STREET","KEENE",3431,"CHESHIRE",6033545400,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average","KEENE","Point",-72.290725,42.949854,"580 COURT STREET",3431,"NH",NA,NA,NA,NA,NA,NA,NA
"9",24,"CHESHIRE MEDICAL CENTER",300019,"NH","PN",396,NA,0.9,14.4376,16.042,51,"07/01/2014","06/30/2017","580 COURT STREET","KEENE",3431,"CHESHIRE",6033545400,"Acute Care Hospitals",TRUE,NA,3,"Same as the national average","Above the national average",NA,"Below the national average","Same as the national average","Same as the national average","Below the national average","Above the national average","KEENE","Point",-72.290725,42.949854,"580 COURT STREET",3431,"NH",NA,NA,NA,NA,NA,NA,NA
"10",25,"PENNSYLVANIA HOSPITAL",390226,"PA","AMI",92,NA,1.034,16.2403,15.7066,17,"07/01/2014","06/30/2017","800 SPRUCE STREET","PHILADELPHIA",19107,"PHILADELPHIA",2158293000,"Acute Care Hospitals",TRUE,TRUE,2,"Same as the national average","Below the national average",NA,"Below the national average","Above the national average","Below the national average","Below the national average","Same as the national average","PHILADELPHIA","Point",-75.155881,39.945872,"800 SPRUCE STREET",19107,"PA",NA,NA,NA,NA,NA,NA,NA
